City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,senneterre,48.3835,-77.2328,-7.25,96,100,3.15,CA,1678692358
84,bischofsheim,49.9939,8.3672,13.73,93,100,6.69,DE,1678692358
85,gizo,-8.103,156.8419,27.3,81,100,3.31,SB,1678692358
86,zalha,47.1833,23.5333,-1.9,58,95,1.79,RO,1678692358
87,vizinga,61.0749,50.1031,-0.28,84,98,5.37,RU,1678692358
88,nelson bay,-32.7167,152.15,23.38,78,100,4.92,AU,1678692358
89,bluff,-46.6,168.3333,12.67,65,100,9.41,NZ,1678692358
90,nouadhibou,20.931,-17.0347,18.99,59,97,5.66,MR,1678692157
91,vista hermosa,19.5167,-99.2167,15.31,47,100,0.0,MX,1678692358
92,makat,47.6469,53.3463,12.25,61,100,12.85,KZ,1678692358
93,zhanakorgan,43.9098,67.2495,14.95,52,75,2.34,KZ,1678692358
94,nikolskoye,59.7035,30.7861,-2.89,90,10,4.34,RU,1678692359
95,komsomolskiy,40.4272,71.7189,15.4,58,0,2.06,UZ,1678692359
96,qaanaaq,77.484,-69.3632,-23.39,75,35,3.65,GL,1678692292
97,soe,-9.8607,124.284,23.55,78,68,1.56,ID,1678692359
98,jaca,42.569,-0.5499,8.95,88,100,2.43,ES,1678692359
99,arraial do cabo,-22.9661,-42.0278,24.03,90,100,4.37,BR,1678692359
100,mount isa,-20.7333,139.5,32.87,33,0,5.14,AU,1678692359
101,torbay,47.6666,-52.7314,-0.24,94,75,8.75,CA,1678692359
102,okhotsk,59.3833,143.3,-7.18,95,100,4.54,RU,1678692359
103,vila,42.0304,-8.1588,9.49,3,100,4.55,PT,1678692359
104,basoko,1.2391,23.616,21.94,96,100,2.1,CD,1678692359
105,marawi,7.9986,124.2928,21.58,96,100,1.99,PH,1678692360
106,jamestown,42.097,-79.2353,-0.23,93,100,2.06,US,1678692360
107,pangnirtung,66.1451,-65.7125,-18.81,80,100,1.71,CA,1678692360
108,hualmay,-11.0964,-77.6139,24.33,79,100,2.79,PE,1678692360
109,sechura,-5.5569,-80.8222,25.38,80,100,2.93,PE,1678692360
110,sao geraldo do araguaia,-6.4006,-48.555,22.38,99,100,0.79,BR,1678692360
111,ostrovnoy,68.0531,39.5131,-4.26,93,100,2.48,RU,1678692360
112,san patricio,28.017,-97.5169,18.93,69,6,7.71,US,1678692360
113,mayumba,-3.432,10.6554,25.22,87,100,2.77,GA,1678692360
114,tasiilaq,65.6145,-37.6368,-8.91,68,16,1.87,GL,1678692361
115,the pas,53.8251,-101.2541,-12.99,61,0,2.57,CA,1678692361
116,bathsheba,13.2167,-59.5167,25.34,78,20,4.63,BB,1678692361
117,rio grande,-32.035,-52.0986,24.05,86,3,5.86,BR,1678692361
118,saldanha,-33.0117,17.9442,19.03,77,0,3.47,ZA,1678692361
119,manono,-7.3,27.4167,22.35,92,100,0.83,CD,1678692361
120,quatre cocos,-20.2078,57.7625,27.06,75,73,6.99,MU,1678692361
121,thompson,55.7435,-97.8558,-13.91,72,20,1.03,CA,1678692361
122,kismayo,-0.3582,42.5454,28.45,71,100,5.75,SO,1678692361
123,gat,31.61,34.7642,22.66,30,0,3.38,IL,1678692361
124,antalaha,-14.9003,50.2788,30.03,57,100,3.15,MG,1678692361
125,kahului,20.8947,-156.47,24.91,85,0,5.14,US,1678692362
126,havelock,34.8791,-76.9013,16.07,89,100,0.89,US,1678692362
127,gao,16.6362,1.637,25.66,10,99,3.68,ML,1678692362
128,airai,-8.9266,125.4092,19.92,80,98,0.84,TL,1678692362
129,whitianga,-36.8333,175.7,18.57,88,100,5.4,NZ,1678692362
130,porto novo,6.4965,2.6036,27.26,81,30,1.23,BJ,1678692362
131,dauphin,51.1494,-100.0502,-20.92,77,0,3.09,CA,1678692362
132,la ciotat,43.1748,5.6045,14.89,90,21,0.66,FR,1678692362
133,el alto,-4.2714,-81.2147,23.67,85,100,2.18,PE,1678692362
134,vernon,50.2581,-119.2691,3.2,84,100,1.54,CA,1678692362
135,road town,18.4167,-64.6167,23.05,68,0,1.83,VG,1678692362
136,sitka,57.0531,-135.33,-3.06,50,20,3.09,US,1678692363
137,genhe,50.7833,121.5167,-6.64,64,76,0.42,CN,1678692363
138,dikson,73.5069,80.5464,-28.89,99,98,3.61,RU,1678692363
139,lucea,18.451,-78.1736,22.92,76,0,1.28,JM,1678692363
140,champerico,14.3,-91.9167,26.27,76,6,2.13,GT,1678692363
141,thinadhoo,0.5333,72.9333,27.65,78,100,4.35,MV,1678692363
142,hithadhoo,-0.6,73.0833,28.06,75,68,3.97,MV,1678692363
143,atar,20.5169,-13.0499,22.39,10,0,4.27,MR,1678692363
144,san cristobal,7.7669,-72.225,19.74,93,100,0.67,VE,1678692363
145,gaffney,35.0718,-81.6498,4.6,71,88,1.92,US,1678692363
146,pinotepa nacional,16.3167,-98.0167,20.62,93,0,1.35,MX,1678692363
147,sinnamary,5.3833,-52.95,25.39,66,92,5.5,GF,1678692364
148,henties bay,-22.116,14.2845,17.15,84,6,0.74,NA,1678692364
149,longyearbyen,78.2186,15.6401,-10.09,67,75,8.23,SJ,1678692364
150,quesnel,52.9999,-122.5029,2.28,75,100,2.06,CA,1678692364
151,prestea,5.4327,-2.1428,25.09,93,91,0.58,GH,1678692364
152,puerto ayora,-0.7393,-90.3518,24.19,93,33,2.72,EC,1678692364
153,ancud,-41.8697,-73.8203,11.86,80,72,1.09,CL,1678692364
154,saint anthony,45.0205,-93.218,-4.63,82,100,7.72,US,1678692364
155,raudeberg,61.9875,5.1352,3.37,57,100,7.55,NO,1678692364
156,shubarshi,48.5872,57.1869,5.74,84,98,9.43,KZ,1678692365
157,ponta delgada,37.7333,-25.6667,15.4,88,40,4.12,PT,1678692365
158,codrington,-38.2667,141.9667,16.17,66,100,5.52,AU,1678692365
159,karasjok,69.4719,25.5112,-11.88,97,96,0.73,NO,1678692365
160,ilulissat,69.2167,-51.1,-22.98,76,65,2.16,GL,1678692365
161,khatanga,71.9667,102.5,-14.1,94,100,8.2,RU,1678692365
162,poum,-20.2333,164.0167,27.13,67,43,1.38,NC,1678692365
163,yinchuan,38.4681,106.2731,16.43,8,2,1.09,CN,1678692365
164,valdivia,-39.8142,-73.2459,13.05,99,51,0.73,CL,1678692365
165,chapais,49.7834,-74.8492,-10.12,98,100,1.7,CA,1678692365
166,atherton,53.5237,-2.4935,10.97,86,80,1.79,GB,1678692093
167,sao raimundo nonato,-9.0153,-42.6994,25.46,62,99,1.29,BR,1678692367
168,alugan,12.2188,125.4808,26.97,70,22,5.66,PH,1678692367
169,takab,36.4009,47.1133,8.87,53,100,4.76,IR,1678692367
170,dingle,10.9995,122.6711,28.23,52,4,5.45,PH,1678692367
171,arona,28.0996,-16.681,19.95,53,0,6.17,ES,1678692367
172,les escoumins,48.1111,-69.0236,-3.36,92,100,1.43,CA,1678692367
173,ust-kuyga,70.0167,135.6,-20.34,99,24,2.52,RU,1678692367
174,palana,59.1167,159.9667,-3.04,96,100,2.96,RU,1678692367
175,fairbanks,64.8378,-147.7164,-12.02,78,100,2.57,US,1678692367
176,lompoc,34.6391,-120.4579,13.34,88,75,1.54,US,1678692367
177,dunmore town,25.5,-76.65,24.93,75,0,4.9,BS,1678692368
178,anaconda,46.1285,-112.9423,-8.45,90,99,2.41,US,1678692368
179,ponta do sol,32.6667,-17.1,17.62,80,15,1.24,PT,1678692368
180,severo-kurilsk,50.6789,156.125,0.09,89,56,6.13,RU,1678692368
181,espanola,35.9911,-106.0806,6.24,60,94,0.59,US,1678692368
182,petropavlovsk-kamchatskiy,53.0452,158.6483,-0.67,80,100,1.0,RU,1678692346
183,ondarroa,43.3167,-2.4167,18.16,62,6,5.4,ES,1678692368
184,byron bay,-28.65,153.6167,24.28,88,68,6.23,AU,1678692368
185,sao joao da barra,-21.6403,-41.0511,23.57,88,51,1.34,BR,1678692368
186,te anau,-45.4167,167.7167,11.45,59,6,2.01,NZ,1678692368
187,kazachinskoye,57.6953,93.2761,-3.86,84,96,6.28,RU,1678692368
188,yamada,39.4667,141.95,6.18,93,100,4.88,JP,1678692369
189,barrow,71.2906,-156.7887,-28.99,76,0,6.17,US,1678692369
190,vardo,70.3705,31.1107,-3.01,93,100,7.72,NO,1678692369
191,bend,44.0582,-121.3153,6.26,81,40,2.68,US,1678692210
192,filadelfia,39.9523,-75.1638,4.32,83,100,4.12,US,1678692210
193,saint-joseph,-21.3667,55.6167,28.21,71,14,5.75,RE,1678692369
194,quepos,9.4236,-84.1652,24.12,85,84,1.92,CR,1678692369
195,sohag,26.557,31.6948,22.3,33,0,1.47,EG,1678692334
196,acajutla,13.5928,-89.8275,24.81,77,1,2.46,SV,1678692369
197,pevek,69.7008,170.3133,-15.41,91,100,3.6,RU,1678692369
198,eau claire,44.8114,-91.4985,-2.79,87,100,4.63,US,1678692369
199,ixtapa,20.7,-105.2,21.24,83,0,1.2,MX,1678692369
200,olafsvik,64.8945,-23.7142,-5.53,59,100,9.9,IS,1678692370
201,hami,42.8,93.45,15.87,13,2,4.39,CN,1678692370
202,eureka,40.8021,-124.1637,12.36,95,100,1.34,US,1678692370
203,birjand,32.8663,59.2211,22.26,12,0,2.06,IR,1678692370
204,katsuura,35.1333,140.3,14.49,80,100,6.53,JP,1678692370
205,bolu,40.6667,31.5833,1.41,93,100,2.46,TR,1678692346
206,clyde river,70.4692,-68.5914,-24.87,84,100,2.57,CA,1678692370
207,constitucion,-35.3333,-72.4167,14.97,96,100,2.84,CL,1678692370
208,tyrma,50.0833,132.1667,-5.41,76,100,3.16,RU,1678692370
209,kaspiysk,42.8816,47.6392,13.1,71,34,8.05,RU,1678692072
210,yellowknife,62.456,-114.3525,-24.69,77,0,3.09,CA,1678692370
211,kenai,60.5544,-151.2583,-3.25,56,75,2.06,US,1678692371
212,haines junction,60.7522,-137.5108,-24.03,70,86,1.03,CA,1678692371
213,erdenet,49.0333,104.0833,-2.79,92,100,4.25,MN,1678692371
214,taoudenni,22.6783,-3.9836,24.25,16,0,4.72,ML,1678692371
215,ballitoville,-29.539,31.2144,25.14,65,20,2.06,ZA,1678692371
216,puerto leguizamo,-0.1934,-74.7819,19.6,99,99,0.96,CO,1678692371
217,vilyuysk,63.7553,121.6247,-10.15,82,26,6.18,RU,1678692371
218,sabang,5.8933,95.3214,27.95,74,100,9.15,ID,1678692371
219,hilo,19.7297,-155.09,26.27,92,75,0.89,US,1678692371
220,san andres,12.5847,-81.7006,26.01,78,20,3.09,CO,1678692371
221,klaksvik,62.2266,-6.589,-2.49,61,100,11.59,FO,1678692371
222,vila praia de ancora,41.811,-8.8526,15.06,93,94,6.78,PT,1678692372
223,kruisfontein,-34.0033,24.7314,23.82,46,0,1.61,ZA,1678692372
224,cururupu,-1.8283,-44.8683,22.64,99,100,1.16,BR,1678692372
225,beringovskiy,63.05,179.3167,-10.09,87,82,3.91,RU,1678692372
226,pochutla,15.7432,-96.4661,21.97,90,0,1.75,MX,1678692372
227,pa sang,18.5262,98.9394,29.08,61,100,2.3,TH,1678692372
228,bulembu,-25.9667,31.1333,6.55,87,100,1.4,SZ,1678692372
229,chokurdakh,70.6333,147.9167,-20.34,95,100,0.96,RU,1678692372
230,fortuna,40.5982,-124.1573,12.21,94,100,2.68,US,1678692372
231,deputatskiy,69.3,139.9,-20.16,94,58,1.57,RU,1678692208
232,jumla,29.2747,82.1838,17.02,31,98,3.1,NP,1678692373
233,ponorogo,-7.8685,111.462,32.59,44,10,0.34,ID,1678692343
234,vila velha,-20.3297,-40.2925,22.75,96,20,1.03,BR,1678692153
235,florence,43.7667,11.25,12.36,84,84,0.89,IT,1678692268
236,jiehu,35.5428,118.455,16.66,15,12,9.69,CN,1678692373
237,pisco,-13.7,-76.2167,24.03,78,0,1.03,PE,1678692373
238,zaoyang,32.1272,112.7542,20.62,17,0,7.82,CN,1678692373
239,tolaga bay,-38.3667,178.3,19.32,73,100,4.11,NZ,1678692373
240,missoula,47.0166,-113.8009,-1.78,98,86,1.05,US,1678692373
241,carballo,43.213,-8.691,14.45,84,5,6.39,ES,1678692335
242,iberia,29.9502,-91.7507,12.2,76,100,8.75,US,1678692373
243,lavrentiya,65.5833,-171.0,-20.52,91,100,2.23,RU,1678692373
244,mumford,5.2618,-0.759,26.86,85,80,3.32,GH,1678692374
245,harper,4.375,-7.7169,23.46,89,39,1.15,LR,1678692374
246,tecoanapa,16.5167,-98.75,23.06,85,5,1.86,MX,1678692374
247,moree,-29.4667,149.85,30.99,33,84,0.17,AU,1678692374
248,bahia blanca,-38.7196,-62.2724,24.78,56,100,2.89,AR,1678692374
249,mantua,45.1667,10.7833,9.58,80,100,0.45,IT,1678692374
250,mehamn,71.0357,27.8492,-6.03,79,20,8.75,NO,1678692374
251,karratha,-20.7377,116.8463,33.86,42,0,5.76,AU,1678692374
252,victor harbor,-35.5667,138.6167,23.71,61,100,3.62,AU,1678692374
253,shache,38.4167,77.2406,19.15,16,0,4.71,CN,1678692374
254,san quintin,30.4833,-115.95,14.15,93,1,6.34,MX,1678692375
255,hay river,60.8156,-115.7999,-22.01,77,20,3.09,CA,1678692375
